"2019/03/15","115.9100","54025470.0000","115.3400","117.2500","114.5900"
"2019/03/14","114.5900","30414810.0000","114.5400","115.2000","114.3300"
"2019/03/13","114.5000","35311160.0000","114.1300","115.0000","113.7800"
"2019/03/12","113.6200","26103480.0000","112.8200","113.9900","112.6499"
"2019/03/11","112.8300","24525610.0000","110.9900","112.9500","110.9800"
"2019/03/08","110.5100","22803110.0000","109.1600","110.7100","108.8000"
"2019/03/07","110.3900","25320540.0000","111.4000","111.5500","109.8650"
"2019/03/06","111.7500","17651130.0000","111.8700","112.6600","111.4300"
"2019/03/05","111.7000","19090780.0000","112.2500","112.3900","111.2300"
"2019/03/04","112.2600","25869380.0000","113.0200","113.2500","110.8000"
"2019/03/01","112.5300","20821260.0000","112.8900","113.0200","111.6650"
"2019/02/28","112.0300","28948570.0000","112.0400","112.8800","111.7300"
"2019/02/27","112.1700","21471170.0000","111.6900","112.3600","110.8800"
"2019/02/26","112.3600","21513210.0000","111.2600","113.2400","111.1700"
"2019/02/25","111.5900","23723500.0000","111.7600","112.1800","111.2600"
"2019/02/22","110.9700","27746840.0000","110.0500","111.2000","109.8200"
"2019/02/21","109.4100","28856200.0000","106.9000","109.4800","106.8700"
"2019/02/20","107.1500","21603580.0000","107.8600","107.9400","106.2900"
"2019/02/19","108.1700","17982860.0000","107.7900","108.6600","107.7800"
"2019/02/15","108.2200","26589160.0000","107.9100","108.3000","107.3624"
"2019/02/14","106.9000","21745770.0000","106.3100","107.2900","105.6600"
"2019/02/13","106.8100","18337830.0000","107.5000","107.7800","106.7100"
"2019/02/12","106.8900","25018670.0000","106.1400","107.1400","105.4800"
"2019/02/11","105.2500","18753750.0000","106.2000","106.5800","104.9650"
"2019/02/08","105.6700","21453990.0000","104.3900","105.7800","104.2603"
"2019/02/07","105.2700","29735930.0000","105.1850","105.5900","104.2900"
"2019/02/06","106.0300","20577980.0000","107.0000","107.0000","105.5300"
"2019/02/05","107.2200","27270810.0000","106.0600","107.2700","105.9600"
"2019/02/04","105.7400","31216260.0000","102.8700","105.8000","102.7700"
"2019/02/01","102.7800","35243730.0000","103.7750","104.0999","102.3500"
"2019/01/31","104.4300","55442870.0000","103.8000","105.2200","103.1800"
"2019/01/30","106.3800","47203190.0000","104.6200","106.3800","104.3300"
"2019/01/29","102.9400","31262200.0000","104.8800","104.9700","102.1700"
"2019/01/28","105.0800","29402020.0000","106.2600","106.4800","104.6600"
